FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
22,192F003,10/24/09,15:39:48,Methanol,540.5,0.34,0.66,0,0,3.5,,0.65,18.2,Disruption
23,196F002,10/24/09,18:29:53,Heptane,541.8,0.34,0.66,0,0,3.01,,0.73,13.1,Disruption
24,196F003,10/24/09,19:44:04,Heptane,542.8,0.34,0.66,0,0,–,,,,Disruption
25,191R001,11/9/2009,11:42:23,Methanol,537.3,0.3,0.7,0,0,2.6,0.59,0.65,10.3,Completion
26,191F001,11/9/2009,11:59:59,Methanol,538.4,0.3,0.7,0,0,3.63,0.4,0.62,22.2,Disruption
27,195F001,11/9/2009,14:04:11,Heptane,540.7,0.3,0.7,0,0,3.87,,0.64,23.8,Disruption
28,195F002,11/9/2009,14:56:05,Heptane,539.7,0.3,0.7,0,0,3.36,,0.64,17.3,Disruption
29,178R001,11/13/09,13:11:23,Methanol,766.9,0.3,0.7,0,0,2.57,,0.74,10.4,Completion
30,178F001,11/13/09,14:03:46,Methanol,769.2,0.3,0.7,0,0,3.26,1.32,0.59,15.6,Extinction
31,182F001,11/13/09,18:33:39,Heptane,770.5,0.3,0.7,0,0,3.39,,0.85,18.4,Disruption
32,182F002,11/13/09,19:04:33,Heptane,771,0.3,0.7,0,0,3.07,,0.68,14,Completion
33,177R002,11/27/09,10:02:15,Methanol,764.5,0.21,0.79,0,0,2.62,1.25,0.48,11.4,Extinction
34,177F001,11/27/09,11:15:38,Methanol,767.7,0.21,0.79,0,0,3.89,2,0.44,27.3,Extinction
35,181F001,11/27/09,13:01:24,Heptane,768.1,0.21,0.79,0,0,3.85,3.34,0.43,8.9,Extinction
36,190R002,12/15/09,10:39:35,Methanol,539,0.2,0.8,0,0,2.4,1.67,0.45,7.1,Extinction
